task,model,dataset,n_seeds,n_points_per_cluster,proj,clustering,cluster distance,representative,k,pool size,recall,map
txt2img,clip,coco,10,20,tsne (pca),hdbscan,15,medoid,10,1000,0.08,0.05
txt2img,clip,coco,2,30,tsne (pca),hdbscan,15,medoid,10,1000,0.88,0.53
txt2img,clip,coco,3,30,tsne (pca),hdbscan,15,medoid,10,1000,0.6,0.33
txt2img,clip,coco,5,30,tsne (pca),hdbscan,15,medoid,10,1000,0.32,0.2
txt2img,clip,coco,10,30,tsne (pca),hdbscan,15,medoid,10,1000,0.2,0.13
txt2img,clip,coco,2,5,tsne (pca),hdbscan,25,centroid,10,1000,0,0
txt2img,clip,coco,3,5,tsne (pca),hdbscan,25,centroid,10,1000,0,0
txt2img,clip,coco,5,5,tsne (pca),hdbscan,25,centroid,10,1000,0.08,0.02
txt2img,clip,coco,10,5,tsne (pca),hdbscan,25,centroid,10,1000,0.2,0.11
txt2img,clip,coco,2,10,tsne (pca),hdbscan,25,centroid,10,1000,0,0
txt2img,clip,coco,3,10,tsne (pca),hdbscan,25,centroid,10,1000,0.28,0.15
txt2img,clip,coco,5,10,tsne (pca),hdbscan,25,centroid,10,1000,0.28,0.15
txt2img,clip,coco,10,10,tsne (pca),hdbscan,25,centroid,10,1000,0.16,0.1
txt2img,clip,coco,2,20,tsne (pca),hdbscan,25,centroid,10,1000,0.88,0.6
txt2img,clip,coco,3,20,tsne (pca),hdbscan,25,centroid,10,1000,0.68,0.35
txt2img,clip,coco,5,20,tsne (pca),hdbscan,25,centroid,10,1000,0.36,0.2
txt2img,clip,coco,10,20,tsne (pca),hdbscan,25,centroid,10,1000,0.2,0.16
txt2img,clip,coco,2,30,tsne (pca),hdbscan,25,centroid,10,1000,0.92,0.53
txt2img,clip,coco,3,30,tsne (pca),hdbscan,25,centroid,10,1000,0.6,0.34
txt2img,clip,coco,5,30,tsne (pca),hdbscan,25,centroid,10,1000,0.28,0.17
txt2img,clip,coco,10,30,tsne (pca),hdbscan,25,centroid,10,1000,0.24,0.08
txt2img,clip,coco,2,5,tsne (pca),hdbscan,25,medoid,10,1000,0,0
txt2img,clip,coco,3,5,tsne (pca),hdbscan,25,medoid,10,1000,0,0
txt2img,clip,coco,5,5,tsne (pca),hdbscan,25,medoid,10,1000,0.08,0.01
txt2img,clip,coco,10,5,tsne (pca),hdbscan,25,medoid,10,1000,0.08,0.02
txt2img,clip,coco,2,10,tsne (pca),hdbscan,25,medoid,10,1000,0,0
txt2img,clip,coco,3,10,tsne (pca),hdbscan,25,medoid,10,1000,0.12,0.03
txt2img,clip,coco,5,10,tsne (pca),hdbscan,25,medoid,10,1000,0.32,0.19
txt2img,clip,coco,10,10,tsne (pca),hdbscan,25,medoid,10,1000,0.16,0.09
txt2img,clip,coco,2,20,tsne (pca),hdbscan,25,medoid,10,1000,0.84,0.42
txt2img,clip,coco,3,20,tsne (pca),hdbscan,25,medoid,10,1000,0.6,0.31
txt2img,clip,coco,5,20,tsne (pca),hdbscan,25,medoid,10,1000,0.36,0.14
txt2img,clip,coco,10,20,tsne (pca),hdbscan,25,medoid,10,1000,0.12,0.08
txt2img,clip,coco,2,30,tsne (pca),hdbscan,25,medoid,10,1000,0.92,0.47
txt2img,clip,coco,3,30,tsne (pca),hdbscan,25,medoid,10,1000,0.48,0.25
txt2img,clip,coco,5,30,tsne (pca),hdbscan,25,medoid,10,1000,0.36,0.22
txt2img,clip,coco,10,30,tsne (pca),hdbscan,25,medoid,10,1000,0.04,0.01
txt2img,clip,coco,2,5,tsne (pca),hdbscan,50,centroid,10,1000,0,0
txt2img,clip,coco,3,5,tsne (pca),hdbscan,50,centroid,10,1000,0,0
txt2img,clip,coco,5,5,tsne (pca),hdbscan,50,centroid,10,1000,0,0
txt2img,clip,coco,10,5,tsne (pca),hdbscan,50,centroid,10,1000,0.12,0.04
txt2img,clip,coco,2,10,tsne (pca),hdbscan,50,centroid,10,1000,0.08,0.06
txt2img,clip,coco,3,10,tsne (pca),hdbscan,50,centroid,10,1000,0.36,0.18
txt2img,clip,coco,5,10,tsne (pca),hdbscan,50,centroid,10,1000,0.32,0.17
txt2img,clip,coco,10,10,tsne (pca),hdbscan,50,centroid,10,1000,0.16,0.11
txt2img,clip,coco,2,20,tsne (pca),hdbscan,50,centroid,10,1000,0.88,0.57
txt2img,clip,coco,3,20,tsne (pca),hdbscan,50,centroid,10,1000,0.76,0.41
txt2img,clip,coco,5,20,tsne (pca),hdbscan,50,centroid,10,1000,0.36,0.25
txt2img,clip,coco,10,20,tsne (pca),hdbscan,50,centroid,10,1000,0.12,0.02
txt2img,clip,coco,2,30,tsne (pca),hdbscan,50,centroid,10,1000,0.88,0.59
txt2img,clip,coco,3,30,tsne (pca),hdbscan,50,centroid,10,1000,0.68,0.28
txt2img,clip,coco,5,30,tsne (pca),hdbscan,50,centroid,10,1000,0.4,0.16
txt2img,clip,coco,10,30,tsne (pca),hdbscan,50,centroid,10,1000,0.12,0.05
txt2img,clip,coco,2,5,tsne (pca),hdbscan,50,medoid,10,1000,0,0
txt2img,clip,coco,3,5,tsne (pca),hdbscan,50,medoid,10,1000,0,0
txt2img,clip,coco,5,5,tsne (pca),hdbscan,50,medoid,10,1000,0.08,0.05
txt2img,clip,coco,10,5,tsne (pca),hdbscan,50,medoid,10,1000,0.12,0.04
txt2img,clip,coco,2,10,tsne (pca),hdbscan,50,medoid,10,1000,0,0
txt2img,clip,coco,3,10,tsne (pca),hdbscan,50,medoid,10,1000,0.16,0.03
txt2img,clip,coco,5,10,tsne (pca),hdbscan,50,medoid,10,1000,0.28,0.12
txt2img,clip,coco,10,10,tsne (pca),hdbscan,50,medoid,10,1000,0.08,0.05
txt2img,clip,coco,2,20,tsne (pca),hdbscan,50,medoid,10,1000,0.88,0.54
txt2img,clip,coco,3,20,tsne (pca),hdbscan,50,medoid,10,1000,0.4,0.25
